Tank;Treatment;NitrateN;AmmoniumN;TotalN;Phosphorus;Potassium;Magnesium;Calcium;Iron;Boron;all in (g)
3;Control;18761.9048407568;10306.0022084371;29067.2725;12684.8743733333;42136.9872412388;1504.5355;22010.605;222.039645;23.6618325;
4;Control;21645.3542877239;12437.0702888756;34081.64285;11491.5018733333;44055.0946734834;1,635.42;18,548.59;278.24;27.742095;
8;Control;16838.2587876738;10632.1682323681;27469.952475;10355.9508733333;43390.3543883798;1,383.34;16,853.25;238.93;19.1389333333333;
1;Au47;20802.8090137028;11967.7068383223;31895.044325;12630.3224418333;41029.9961148252;1439.81973474096;26337.7301089178;335.542441960721;28.9492125;
6;Au47;21772.6966289723;11997.3568460277;33770.053475;10672.2162862551;47175.575985864;1467.01863862725;21585.5732755892;316.188489629775;29.377145;
2;Au47;17620.2957964464;13936.7169285536;31557.012725;11265.6729174381;42896.9508468937;1502.48748702529;24398.428146034;257.110626416756;25.0036639005855;
7;Au53;20342.6542214464;13938.8424285536;34281.49665;9118.48575704411;47207.9978827914;1394.8993926275;19296.3288426945;285.840136360119;31.025050041332;
5;Au53;21635.1065713069;15013.8777023229;36648.9842736298;6988.36075703265;46268.123501614;1730.13032705656;15865.5454860459;265.159355;29.7709824206659;
9;Au53;22563.0404511268;12648.0089488732;35211.0494;10432.1434292257;40841.1318303571;1348.28810098257;22660.4840070055;301.044988289245;25.8682772079741;
