"iso","umd_tree_cover_extent_2000__ha","area__ha"
"SOM",87128.0747837078,62086638.354379065
"SPM",5454.0719722161875,22663.522839885954
"SRB",2730300.360428097,7823140.491428766
"SSD",11386560.104792796,62809870.698405735
"STP",14213.574706850073,100217.98772540977
"SUR",13949809.567684509,14642556.865292838
"SVK",2397197.266003879,4909915.804722626
"SVN",1293520.687200819,1998090.7854925531
"SWE",27879609.732758548,44999327.61983752
"SWZ",469227.3886479701,1738333.063014166
"SXM",1022.1797823847292,3801.387515216056
"SYC",6209.624619393004,20266.945161781885
"SYR",105939.8693325849,18691800.160237014
"TCA",10851.311884848896,99152.01584846975
"TCD",409749.29467151273,113126705.11814974
"TGO",558803.5132555439,5699519.2020189455
"THA",19962441.088565163,51405448.59428095
"TJK",60256.64849433875,14211295.405721027
"TKM",10176.935689062786,48959209.55422319
"TLS",726234.4514017196,1491565.392337095
"TTO",391844.2819339774,515899.59454435244
"TUN",223827.61987851813,15486458.270953419
"TUR",10060827.805634882,78070340.89002262
"TUV",0.0,49.90083498858027
"TWN",2342180.5473951907,3640651.397324754
"TZA",26406465.77483954,94057690.73100987
"UGA",7764958.854562209,24143952.939303838
"UKR",11133284.652450942,60136109.70821224
"UMI",145.89811682738667,541.6797628046156
"URY",1697322.4230814737,17746574.344350483
"USA",279376627.97980386,947083424.5263464
"UZB",106176.25729182872,44755388.10020216
"VAT",4.838481851475418,52.878039683944706
"VCT",29110.614161181333,39788.97162864797
"VEN",56533524.97089902,91249225.4504766
"VGB",7463.880883783114,16932.044499445856
"VIR",18997.907283305783,36213.91572681367
"VNM",16551332.113413844,32927599.947524935
"VUT",1181152.2147508066,1231886.2529364158
"XAD",455.93756603218435,23448.38132256482
"XCA",141764.26840789706,37158133.7733791
"XCL",0.0,1008.6390983724007
"XKO",370224.3839668855,1091976.447946347
"XNC",12307.275529253193,331406.91415765596
"XPI",0.0,1969.21271611613
"XSP",0.0,188.15293746539243
"YEM",126.16372333529048,45220898.291365586
"ZAF",5983115.285013349,121971018.80355975
"ZMB",24050819.111733295,75049201.88692003
"ZWE",1414326.4246724693,39068111.13497418
